Item.[Item],Sales Domain.[Ship To],Time.[Partial Week],Item_Lv,current_row_partial_week_normalized,CURRENTWEEK_NORMALIZED_PLUS_8,S/In FCST(GI)_GC.Lock,S/In FCST Color Condition
RF29BB8600QLAA,300114,202152B,3,202152,202208,True,19_GRAY
RF29BB8600QLAA,300114,202201,3,202201,202209,True,19_GRAY
RF29BB8600QLAA,300114,202202,3,202202,202210,True,19_GRAY
RF29BB8600QLAA,300114,202203,3,202203,202211,True,19_GRAY
RF29BB8600QLAA,300114,202204,3,202204,202212,True,19_GRAY
RF29BB8600QLAA,300114,202205A,3,202205,202213,True,19_GRAY
RF29BB8600QLAA,300114,202205B,3,202205,202213,True,19_GRAY
RF29BB8600QLAA,300114,202206,3,202206,202214,True,19_GRAY
RF29BB8600QLAA,300114,202207,3,202207,202215,True,19_GRAY
RF29BB8600QLAA,300114,202208,3,202208,202216,True,19_GRAY
RF29BB8600QLAA,300114,202209A,3,202209,202217,True,19_GRAY
RF29BB8600QLAA,300114,202209B,3,202209,202217,True,19_GRAY
RF29BB8600QLAA,300114,202210,3,202210,202218,True,19_GRAY
RF29BB8600QLAA,300114,202211,3,202211,202219,True,19_GRAY
RF29BB8600QLAA,300114,202212,3,202212,202220,True,19_GRAY
RF29BB8600QLAA,300114,202213A,3,202213,202221,True,19_GRAY
RF29BB8600QLAA,300114,202213B,3,202213,202221,True,19_GRAY
RF29BB8600QLAA,300114,202214,3,202214,202222,True,19_GRAY
RF29BB8600QLAA,300114,202215,3,202215,202223,True,19_GRAY
RF29BB8600QLAA,300114,202216,3,202216,202224,True,19_GRAY
RF29BB8600QLAA,300114,202217A,3,202217,202225,True,19_GRAY
RF29BB8600QLAA,300114,202217B,3,202217,202225,True,19_GRAY
RF29BB8600QLAA,300114,202218,3,202218,202226,True,19_GRAY
RF29BB8600QLAA,300114,202219,3,202219,202227,True,19_GRAY
RF29BB8600QLAA,300114,202220,3,202220,202228,True,19_GRAY
RF29BB8600QLAA,300114,202221,3,202221,202229,True,19_GRAY
RF29BB8600QLAA,300114,202222A,3,202222,202230,True,19_GRAY
RF29BB8600QLAA,300114,202222B,3,202222,202230,True,19_GRAY
RF29BB8600QLAA,300114,202223,3,202223,202231,True,19_GRAY
RF29BB8600QLAA,300114,202224,3,202224,202232,True,19_GRAY
RF29BB8600QLAA,300114,202225,3,202225,202233,True,19_GRAY
RF29BB8600QLAA,300114,202226A,3,202226,202234,True,19_GRAY
RF29BB8600QLAA,300114,202226B,3,202226,202234,True,19_GRAY
RF29BB8600QLAA,300114,202227,3,202227,202235,True,19_GRAY
RF29BB8600QLAA,300114,202228,3,202228,202236,True,19_GRAY
RF29BB8600QLAA,300114,202229,3,202229,202237,True,19_GRAY
RF29BB8600QLAA,300114,202230,3,202230,202238,True,19_GRAY
RF29BB8600QLAA,300114,202231,3,202231,202239,True,19_GRAY
RF29BB8600QLAA,300114,202232,3,202232,202240,True,19_GRAY
RF29BB8600QLAA,300114,202233,3,202233,202241,True,19_GRAY
RF29BB8600QLAA,300114,202234,3,202234,202242,True,19_GRAY
RF29BB8600QLAA,300114,202235A,3,202235,202243,True,19_GRAY
RF29BB8600QLAA,300114,202235B,3,202235,202243,True,19_GRAY
RF29BB8600QLAA,300114,202236,3,202236,202244,True,19_GRAY
RF29BB8600QLAA,300114,202237,3,202237,202245,True,19_GRAY
RF29BB8600QLAA,300114,202238,3,202238,202246,True,19_GRAY
RF29BB8600QLAA,300114,202239A,3,202239,202247,True,19_GRAY
RF29BB8600QLAA,300114,202239B,3,202239,202247,True,19_GRAY
RF29BB8600QLAA,300114,202240,3,202240,202248,True,19_GRAY
RF29BB8600QLAA,300114,202241,3,202241,202249,True,19_GRAY
RF29BB8600QLAA,300114,202242,3,202242,202250,True,19_GRAY
RF29BB8600QLAA,300114,202243,3,202243,202251,True,19_GRAY
RF29BB8600QLAA,300114,202244A,3,202244,202252,True,19_GRAY
RF29BB8600QLAA,300114,202244B,3,202244,202252,True,19_GRAY
RF29BB8600QLAA,300114,202245,3,202245,202301,True,19_GRAY
RF29BB8600QLAA,300114,202246,3,202246,202302,True,19_GRAY
RF29BB8600QLAA,300114,202247,3,202247,202303,True,19_GRAY
RF29BB8600QLAA,300114,202248A,3,202248,202304,True,19_GRAY
RF29BB8600QLAA,300114,202248B,3,202248,202304,True,19_GRAY
RF29BB8600QLAA,300114,202249,3,202249,202305,True,19_GRAY
RF29BB8600QLAA,300114,202250,3,202250,202306,True,19_GRAY
RF29BB8600QLAA,300114,202251,3,202251,202307,True,19_GRAY
RF29BB8600QLAA,300114,202252A,3,202252,202308,True,19_GRAY
RF29BB8600QLAA,300114,202252B,3,202252,202308,True,19_GRAY
