Sales Domain.[Sales Std1],Sales Domain.[Sales Std2],Sales Domain.[Sales Std3],Sales Domain.[Sales Std4],Sales Domain.[Sales Std5],Sales Domain.[Sales Std6],Sales Domain.[Ship To]
RH000206,RH000206,RH000206,RH000206,RH000206,RH000206,RH000206
RH000206,SU000133,SU000133,SU000133,SU000133,SU000133,SU000133
RH000206,SU000133,CO000710,CO000710,CO000710,CO000710,CO000710
RH000206,SU000133,CO000710,CT007431,CT007431,CT007431,CT007431
RH000206,SU000133,CO000710,CT000877,CT000877,CT000877,CT000877
RH000206,SU000133,CO000710,CT002435,CT002435,CT002435,CT002435
RH000206,SU000133,CO000710,CT008473,CT008473,CT008473,CT008473
RH000226,SU000118,CO000710,CT007431,CH018113,CH018113,CH018113
RH000226,SU000118,CO000710,CT000877,CH016583,CH016583,CH016583
RH000226,SU000118,CO000710,CT002435,CH019794,CH019794,CH019794
RH000226,SU000118,CO000710,CT008473,CH022355,CH022355,CH022355
