Version.[Version Name],Item.[Item],Sales Domain.[Ship To],RTS_ISVALID,RTS_STATUS,RTS_INIT_DATE,RTS_DEV_DATE,RTS_COM_DATE,EOS_STATUS,EOS_INIT_DATE,EOS_CHG_DATE,EOS_COM_DATE
CWV_DP,RF29BB8600QLAA,300114,Y,COM,2022-02-28,2022-02-28,2022-03-04,INI,2023-02-28,2027-03-01,
CWV_DP,SM-S911ULIAATT,300114,Y,COM,2022-12-20,2022-12-13,2023-01-20,INI,2024-02-07,2025-01-05,
CWV_DP,SM-S911UZKEATT,300114,Y,COM,2022-12-20,2022-12-13,2023-01-20,INI,2024-02-07,2025-01-05,
CWV_DP,SM-S921UZKAAIO,300114,Y,COM,2023-12-12,2024-01-14,2024-01-14,INI,2025-01-21,2026-01-07,
CWV_DP,SM-S921UZKAATT,300114,Y,COM,2023-12-12,2024-01-14,2024-01-14,INI,2024-11-11,2026-01-07,
CWV_DP,SM-S921UZKEATT,300114,Y,COM,2023-12-12,2024-01-14,2024-01-14,INI,2024-11-11,2026-01-07,
CWV_DP,SM-S921UZVAATT,300114,Y,COM,2023-12-12,2024-01-14,2024-01-14,INI,2024-11-11,2026-01-07,
CWV_DP,SM-S911NLIEKOC,211,Y,COM,2022-12-16,2022-12-16,2023-01-20,INI,2023-12-16,2024-04-13,
CWV_DP,SM-S911NLIEKOD,211,Y,COM,2022-12-16,2022-12-16,2023-01-20,INI,2023-12-16,2024-04-13,
CWV_DP,SM-S911NZGEKOC,211,Y,COM,2022-12-16,2022-12-16,2023-01-20,INI,2023-12-16,2024-04-13,
CWV_DP,SM-S921NZAEKOC,211,Y,COM,2023-12-15,2024-01-13,2024-01-13,INI,2024-12-15,2025-01-31,
CWV_DP,LH65WAFWLGCXZA,300114,Y,COM,2025-01-13,2025-01-13,2024-12-09,INI,2026-12-14,2026-12-14,
CWV_DP,BAS-GREEN1,300114,Y,COM,2025-01-13,2025-01-13,2024-12-09,INI,2026-12-14,2026-12-14,
CWV_DP,HA-EOP-YELLOW1,300114,Y,COM,2025-01-13,2025-01-13,2024-12-09,INI,2026-12-14,2026-12-14,
CWV_DP,QA65QN70FAJXXZ,300114,Y,COM,2025-01-13,2025-01-13,2024-12-09,INI,2026-12-14,2026-12-14,
