Version.[Version Name],Sales Domain.[Ship To],Item.[Item],Location.[Location],Sales Product ASN
CWV_DP,A5002453,RF29BB8600QLAA,S359WC18,Y
CWV_DP,A5002453,RF29BB8600QLAA,S377,Y
CWV_DP,A5002453,RF29BB8600QLAA,S376,Y
CWV_DP,A5002453,RF29BB8600QLAA,S348WDB1,Y
CWV_DP,A5002453,RF29BB8600QLAA,S359,Y
CWV_DP,A5002453,RF29BB8600QLAA,S358,Y
CWV_DP,A5002453,RF29BB8600QLAA,S356,Y
CWV_DP,A5002453,RF29BB8600QLAA,S348WDD1,Y
CWV_DP,A5002453,RF29BB8600QLAA,S348WDD2,Y
CWV_DP,A5002453,RF29BB8600QLAA,S362,Y
CWV_DP,A5002453,RF29BB8600QLAA,S360,Y
CWV_DP,A5002453,RF29BB8600QLAA,S366,Y
CWV_DP,A5002453,RF29BB8600QLAA,S367,Y
CWV_DP,A5006941,SM-S911ULIAATT,S341,Y
CWV_DP,A5006941,SM-S911UZKEATT,S341,Y
CWV_DP,A5006941,SM-S921UZKAATT,S341,Y
CWV_DP,A5006941,SM-S921UZKEATT,S341,Y
CWV_DP,A5006941,SM-S921UZVAATT,S341,Y
CWV_DP,A5019692,SM-S921UZKAAIO,S341,Y
CWV_DP,A5019692,SM-S921UZKEATT,S341,Y
CWV_DP,A5002090,SM-S911NLIEKOC,L999,Y
CWV_DP,A5002090,SM-S911NLIEKOD,L101,Y
CWV_DP,A5002090,SM-S911NZGEKOC,L999,Y
CWV_DP,A5002090,SM-S921NZAEKOC,L999,Y
CWV_DP,A5002453,LH65WAFWLGCXZA,S358,Y
CWV_DP,A5002453,LH65WAFWLGCXZA,S356,Y
CWV_DP,A5002453,BAS-GREEN1,S356,Y
CWV_DP,A5002453,HA-EOP-YELLOW1,S356,Y
CWV_DP,A5002453,QA65QN70FAJXXZ,S614,Y
