Sales Domain.[Ship To],Item.[Item],Time.[Partial Week],Estimated Price Modify_Local,Estimated Price_Local
5000001,RF29BB8600QLAA,202522A,1.0,100.0
5000001,RF29BB8600QLAA,202522B,1.0,200.0
5000001,RF29BB8600QLAA,202523A,1.0,200.0
5000001,RF29BB8600QLAA,202524A,1.0,200.0
5000001,RF29BB8600QLAA,202525A,1.0,200.0
5000001,RF29BB8600QLAA,202526A,1.0,200.0
5000001,RF29BB8600QLAA,202527A,1.0,200.0
5000001,RF29BB8600QLAA,202527B,1.0,200.0
5000001,RF29BB8600QLAA,202528A,1.0,200.0
5000001,RF29BB8600QLAA,202529A,1.0,200.0
5000001,RF29BB8600QLAA,202530A,1.0,200.0
5000001,RF29BB8600QLAA,202531A,1.0,200.0
5000001,RF29BB8600QLAA,202531B,1.0,200.0
5000001,RF29BB8600QLAA,202532A,1.0,200.0
5000001,RF29BB8600QLAA,202533A,1.0,200.0
5000001,RF29BB8600QLAA,202534A,1.0,200.0
5000001,RF29BB8600QLAA,202535A,1.0,200.0
5000001,RF29BB8600QLAA,202536A,1.0,200.0
5000001,RF29BB8600QLAA,202537A,1.0,200.0
5000001,RF29BB8600QLAA,202538A,1.0,200.0
5000001,RF29BB8600QLAA,202539A,1.0,200.0
5000001,RF29BB8600QLAA,202540A,1.0,200.0
5000001,RF29BB8600QLAA,202540B,1.0,200.0
5000001,RF29BB8600QLAA,202541A,1.0,200.0
5000001,RF29BB8600QLAA,202542A,1.0,200.0
5000001,RF29BB8600QLAA,202543A,1.0,200.0
5000001,RF29BB8600QLAA,202544A,1.0,200.0
5000001,RF29BB8600QLAA,202544B,1.0,200.0
5000001,RF29BB8600QLAA,202545A,1.0,200.0
5000001,RF29BB8600QLAA,202546A,1.0,200.0
5000001,RF29BB8600QLAA,202547A,1.0,200.0
5000001,RF29BB8600QLAA,202548A,1.0,200.0
5000001,RF29BB8600QLAA,202549A,1.0,200.0
5000001,RF29BB8600QLAA,202550A,1.0,200.0
5000001,RF29BB8600QLAA,202551A,1.0,200.0
5000001,RF29BB8600QLAA,202552A,1.0,200.0
5000001,RF29BB8600QLAA,202601A,1.0,200.0
5000001,RF29BB8600QLAA,202601B,1.0,200.0
5000001,RF29BB8600QLAA,202602A,1.0,200.0
5000001,RF29BB8600QLAA,202603A,1.0,200.0
5000001,RF29BB8600QLAA,202604A,1.0,200.0
5000001,RF29BB8600QLAA,202605A,1.0,200.0
5000001,RF29BB8600QLAA,202605B,1.0,200.0
5000001,RF29BB8600QLAA,202606A,1.0,200.0
5000001,RF29BB8600QLAA,202607A,1.0,200.0
5000001,RF29BB8600QLAA,202608A,1.0,200.0
5000001,RF29BB8600QLAA,202609A,1.0,200.0
5000001,RF29BB8600QLAA,202609B,1.0,200.0
5000001,RF29BB8600QLAA,202610A,1.0,200.0
5000001,RF29BB8600QLAA,202611A,1.0,200.0
5000001,RF29BB8600QLAA,202612A,1.0,200.0
5000001,RF29BB8600QLAA,202613A,1.0,200.0
5000001,RF29BB8600QLAA,202614A,1.0,200.0
5000001,RF29BB8600QLAA,202614B,1.0,200.0
5000001,RF29BB8600QLAA,202615A,1.0,200.0
5000001,RF29BB8600QLAA,202616A,1.0,200.0
5000001,RF29BB8600QLAA,202617A,1.0,200.0
5000001,RF29BB8600QLAA,202618A,1.0,200.0
5000001,RF29BB8600QLAA,202618B,1.0,200.0
5000001,RF29BB8600QLAA,202619A,1.0,200.0
5000001,RF29BB8600QLAA,202620A,1.0,200.0
5000001,RF29BB8600QLAA,202621A,1.0,200.0
5000001,RF29BB8600QLAA,202622A,1.0,300.0
5000002,RF29BB8600QLAA,202522A,100.0,999.0
5000002,RF29BB8600QLAA,202522B,100.0,999.0
5000002,RF29BB8600QLAA,202523A,100.0,999.0
5000002,RF29BB8600QLAA,202524A,100.0,999.0
5000002,RF29BB8600QLAA,202525A,100.0,999.0
5000002,RF29BB8600QLAA,202526A,100.0,999.0
5000002,RF29BB8600QLAA,202527A,100.0,999.0
5000002,RF29BB8600QLAA,202527B,100.0,999.0
5000002,RF29BB8600QLAA,202528A,100.0,999.0
