PYForecastVDSellInAP2Rolling																							
	Python 개발요청서 : PYForecastVDSellInAP2Rolling.py																						
																							
		개요 (*)																					
																							
			* 프로그램명																				
				PYForecastVDSellInAP2Rolling																			
																							
																							
			* 목적																				
				- VD  AP2 셀인 실적 차질분에 대한 롤링 반영																			
																							
																							
																							
			* 변경이력																				
				2025.03.05 전창민 최초 작성																			
																							
																							
																							
		Script Parameter																					
																							
																							
																							
			(Input 1) CurrentPartialWeek																				
				&CurrentPartialWeek - NameSet 활용																			
				'- 당주주차 (202415) 사용																			
																							
																							
																							
																							
																							
		Input Tables (*)																					
																							
			(Input 1) S/In FCST(GI)_AP2 정보																				
				df_in_SIn																			
					Select ([Version].[Version Name]		* Version 에 대한 범위 제한은 Procedure 실행 시에 걸어줌. ( CurrentWorkingView 와 이전 Version )																
					 * [Sales Domain].[Ship To] 																		
					 * [Location].[Location] 																		
					 * [Item].[Product Group] 																		
					 * [Item].[Item] 																		
					 * [Time].[Planning Month]		* Time 에 대한 범위 제한은 Procedure 실행 시에 걸어줌. ( 전월과 당월 )																
					 * [Time].[Week] ) on row, 																		
					( { Measure.[S/In FCST(GI)_AP2] } ) on column																		
					where { [Item].[Item GBM].[VD] } ;																		
																							
																							
																							
							Version.[Version Name]	Sales Domain.[Ship To]	Location.[Location]	Item.[Product Group]	Item.[Item]	Time.[Planning Month]	Time.[Week]	S/In FCST(GI)_AP2												
					7LV Case		202414	A5002453	S001	PG 1	SKU 1	202403	202410	100	실적											
							202414	A5002453	S001	PG 1	SKU 1	202403	202411	110	실적											
							202414	A5002453	S001	PG 1	SKU 1	202403	202412	125	실적											
							202414	A5002453	S001	PG 1	SKU 1	202403	202413	155	실적											
							202414	A5002453	S001	PG 1	SKU 1	202404	202414	100												
							202414	A5002453	S001	PG 1	SKU 1	202404	202415	100												
							202414	A5002453	S001	PG 1	SKU 1	202404	202416	100												
							202414	A5002453	S001	PG 1	SKU 1	202404	202417	100												
							CurrentWorkingView	A5002453	S001	PG 1	SKU 1	202403	202410	100	실적											
							CurrentWorkingView	A5002453	S001	PG 1	SKU 1	202403	202411	110	실적											
							CurrentWorkingView	A5002453	S001	PG 1	SKU 1	202403	202412	125	실적											
							CurrentWorkingView	A5002453	S001	PG 1	SKU 1	202403	202413	155	실적											
							CurrentWorkingView	A5002453	S001	PG 1	SKU 1	202404	202414	120	실적											
							CurrentWorkingView	A5002453	S001	PG 1	SKU 1	202404	202415	100												
							CurrentWorkingView	A5002453	S001	PG 1	SKU 1	202404	202416	100												
							CurrentWorkingView	A5002453	S001	PG 1	SKU 1	202404	202417	100												
																										
					6LV Case		202414	A5002453	S001	PG 2	SKU 2	202403	202410	100												
							202414	A5002453	S001	PG 2	SKU 2	202403	202411	110												
							202414	A5002453	S001	PG 2	SKU 2	202403	202412	125												
							202414	A5002453	S001	PG 2	SKU 2	202403	202413	155												
							202414	A5002453	S001	PG 2	SKU 2	202404	202414													
							202414	A5002453	S001	PG 2	SKU 2	202404	202415													
							202414	A5002453	S001	PG 2	SKU 2	202404	202416													
							202414	A5002453	S001	PG 2	SKU 2	202404	202417													
							CurrentWorkingView	A5002453	S001	PG 2	SKU 2	202403	202410	100												
							CurrentWorkingView	A5002453	S001	PG 2	SKU 2	202403	202411	110												
							CurrentWorkingView	A5002453	S001	PG 2	SKU 2	202403	202412	125												
							CurrentWorkingView	A5002453	S001	PG 2	SKU 2	202403	202413	155												
							CurrentWorkingView	A5002453	S001	PG 2	SKU 2	202404	202414	120												
							CurrentWorkingView	A5002453	S001	PG 2	SKU 2	202404	202415													
							CurrentWorkingView	A5002453	S001	PG 2	SKU 2	202404	202416													
							CurrentWorkingView	A5002453	S001	PG 2	SKU 2	202404	202417													
							202414	5002453	S001	PG 2	SKU 2	202403	202410													
							202414	5002453	S001	PG 2	SKU 2	202403	202411													
							202414	5002453	S001	PG 2	SKU 2	202403	202412													
							202414	5002453	S001	PG 2	SKU 2	202403	202413													
							202414	5002453	S001	PG 2	SKU 2	202404	202414	100												
							202414	5002453	S001	PG 2	SKU 2	202404	202415	100												
							202414	5002453	S001	PG 2	SKU 2	202404	202416	100												
							202414	5002453	S001	PG 2	SKU 2	202404	202417	100												
							CurrentWorkingView	5002453	S001	PG 2	SKU 2	202403	202410													
							CurrentWorkingView	5002453	S001	PG 2	SKU 2	202403	202411													
							CurrentWorkingView	5002453	S001	PG 2	SKU 2	202403	202412													
							CurrentWorkingView	5002453	S001	PG 2	SKU 2	202403	202413													
							CurrentWorkingView	5002453	S001	PG 2	SKU 2	202404	202414													
							CurrentWorkingView	5002453	S001	PG 2	SKU 2	202404	202415	100												
							CurrentWorkingView	5002453	S001	PG 2	SKU 2	202404	202416	100												
							CurrentWorkingView	5002453	S001	PG 2	SKU 2	202404	202417	100												
																										
					5LV Case		202414	A5002453	S001	PG 3	SKU 3	202403	202410	100												
							202414	A5002453	S001	PG 3	SKU 3	202403	202411	110												
							202414	A5002453	S001	PG 3	SKU 3	202403	202412	125												
							202414	A5002453	S001	PG 3	SKU 3	202403	202413	155												
							202414	A5002453	S001	PG 3	SKU 3	202404	202414													
							202414	A5002453	S001	PG 3	SKU 3	202404	202415													
							202414	A5002453	S001	PG 3	SKU 3	202404	202416													
							202414	A5002453	S001	PG 3	SKU 3	202404	202417													
							CurrentWorkingView	A5002453	S001	PG 3	SKU 3	202403	202410	100												
							CurrentWorkingView	A5002453	S001	PG 3	SKU 3	202403	202411	110												
							CurrentWorkingView	A5002453	S001	PG 3	SKU 3	202403	202412	125												
							CurrentWorkingView	A5002453	S001	PG 3	SKU 3	202403	202413	155												
							CurrentWorkingView	A5002453	S001	PG 3	SKU 3	202404	202414	120												
							CurrentWorkingView	A5002453	S001	PG 3	SKU 3	202404	202415													
							CurrentWorkingView	A5002453	S001	PG 3	SKU 3	202404	202416													
							CurrentWorkingView	A5002453	S001	PG 3	SKU 3	202404	202417													
							202414	5002453	S001	PG 3	SKU 3	202403	202410													
							202414	5002453	S001	PG 3	SKU 3	202403	202411													
							202414	5002453	S001	PG 3	SKU 3	202403	202412													
							202414	5002453	S001	PG 3	SKU 3	202403	202413													
							202414	5002453	S001	PG 3	SKU 3	202404	202414													
							202414	5002453	S001	PG 3	SKU 3	202404	202415													
							202414	5002453	S001	PG 3	SKU 3	202404	202416													
							202414	5002453	S001	PG 3	SKU 3	202404	202417													
							CurrentWorkingView	5002453	S001	PG 3	SKU 3	202403	202410													
							CurrentWorkingView	5002453	S001	PG 3	SKU 3	202403	202411													
							CurrentWorkingView	5002453	S001	PG 3	SKU 3	202403	202412													
							CurrentWorkingView	5002453	S001	PG 3	SKU 3	202403	202413													
							CurrentWorkingView	5002453	S001	PG 3	SKU 3	202404	202414													
							CurrentWorkingView	5002453	S001	PG 3	SKU 3	202404	202415													
							CurrentWorkingView	5002453	S001	PG 3	SKU 3	202404	202416													
							CurrentWorkingView	5002453	S001	PG 3	SKU 3	202404	202417													
							202414	400362	S001	PG 3	SKU 3	202403	202410													
							202414	400362	S001	PG 3	SKU 3	202403	202411													
							202414	400362	S001	PG 3	SKU 3	202403	202412													
							202414	400362	S001	PG 3	SKU 3	202403	202413													
							202414	400362	S001	PG 3	SKU 3	202404	202414	100												
							202414	400362	S001	PG 3	SKU 3	202404	202415	100												
							202414	400362	S001	PG 3	SKU 3	202404	202416	100												
							202414	400362	S001	PG 3	SKU 3	202404	202417	100												
							CurrentWorkingView	400362	S001	PG 3	SKU 3	202403	202410													
							CurrentWorkingView	400362	S001	PG 3	SKU 3	202403	202411													
							CurrentWorkingView	400362	S001	PG 3	SKU 3	202403	202412													
							CurrentWorkingView	400362	S001	PG 3	SKU 3	202403	202413													
							CurrentWorkingView	400362	S001	PG 3	SKU 3	202404	202414													
							CurrentWorkingView	400362	S001	PG 3	SKU 3	202404	202415	100												
							CurrentWorkingView	400362	S001	PG 3	SKU 3	202404	202416	100												
							CurrentWorkingView	400362	S001	PG 3	SKU 3	202404	202417	100												
																										
					4LV Case		202414	A5002453	S001	PG 4	SKU 4	202403	202410	100												
